country,oecd,gdpcap85,school,pop,fert,lifeexp,popgrowth,civlib5,wartime,gvtcons
Colombia,0,2893,4.533,29879,3.31,65,0.0186,3,0.32,0.1066
Ecuador,0,2885,5.584,9317,4.6,65,0.0287,2,0,0.1349
Guyana,0,1230,5.109,790,3.14,65.9,0.0077,4.4,0,0.2687
Paraguay,0,2258,4.704,3693,4.67,66.7,0.032,5,0,0.0659
Peru,0,2481,5.786,19417,4.23,60.3,0.0228,3,0.04,0.1176
Suriname,0,3310,NA,383,NA,NA,0.0223,5.6,0,0.2526
Uruguay,0,3730,6.454,3008,2.67,70.8,0.0038,4.4,0,0.1367
Venezuela,0,6037,5.368,17317,3.9,69.6,0.0284,2,0,0.1189
Afghanistan,0,NA,1.06,14519,NA,NA,0.0257,7,NA,NA
Bahrain,0,9452,4.419,429,NA,NA,0.0368,4.8,NA,0.1381
Bangladesh,0,1116,1.974,101147,5.72,49.9,0.0279,4.4,0.04,0.0633
Myanmar,0,561,2.019,37544,NA,NA,0.0195,6.4,0.04,NA
China,0,1811,NA,1059522,2.3,68.8,0.0116,6,NA,0.1517
Hong_Kong,0,10653,7.511,5456,1.85,75.8,0.0159,NA,0,0.0746
India,0,899,3.046,769183,4.48,56.7,0.0214,3,0.04,0.1004
Indonesia,0,1626,3.75,167332,3.72,58.5,0.0209,5.2,0.04,0.109
Iran,0,4017,3.281,44632,NA,NA,0.0341,5.8,0.24,0.1762
Iraq,0,3946,3.039,15898,NA,63,0.0357,7,0.32,0.2245
Israel,0,7900,9.41,4233,2.98,75,0.0175,2,0.08,0.3692
Japan,1,12004,8.458,120837,1.73,77.3,0.0067,1,0,0.0988
Jordan,0,2720,4.308,3407,6.69,65,0.0364,5.8,0.08,0.2473
Korea,0,4267,7.85,40806,2.32,68.7,0.0148,5.8,0,0.1111
Kuwait,0,11979,5.276,1720,4.98,72.3,0.0443,4,0,0.1741
Malaysia,0,4073,5.361,15677,3.84,68.9,0.0261,4.2,0,0.1698
Nepal,0,870,0.858,16915,6.02,49.9,0.0262,4,0,0.0832
Oman,0,9049,NA,1242,7.18,54.2,0.0466,6,0,0.2576
Pakistan,0,1221,1.92,103233,6.82,55.5,0.0305,5,0.08,0.1102
Philippines,0,1521,6.481,55121,4.24,62.8,0.025,4.6,0.36,0.0778
Saudi_Arabia,0,8691,NA,11595,7.22,62.4,0.0411,6.4,0,0.2462
Singapore,0,8153,4.553,2558,1.67,72.5,0.0115,5,0,0.1038
Sri_Lanka,0,2152,5.371,16110,2.9,69.8,0.0144,3.4,0.04,0.0803
Syria,0,4075,3.987,10458,6.93,64,0.0345,6.6,0.08,0.2203
Taiwan,0,5786,6.999,19258,NA,72.8,0.0157,5.2,0,0.1625
Thailand,0,2422,5.081,51604,3.1,63.8,0.0203,4,0.04,0.1297
United_Arab_Emirates,0,19627,NA,1349,4.98,70.1,0.057,5,NA,0.1695
Yemen,0,1267,0.812,7621,7.01,49.9,0.0245,5,0,0.2199
Austria,1,11172,6.642,7558,1.48,73.7,0,1,0,0.1852
Belgium,1,11324,9.152,9858,1.49,74.3,0.0002,1,0,0.1835
Cyprus,0,6442,7.128,665,2.33,75.4,0.0114,2.2,0.2,0.145
Denmark,1,12884,10.331,5122,1.45,74.9,-0.0004,1,0,0.2715
Finland,1,12128,9.491,4902,1.66,75,0.0053,2,0,0.1885
France,1,12186,6.523,55170,1.82,76.6,0.0053,2,0,0.1935
West_Germany,1,12543,8.544,61024,1.28,74.3,-0.0017,2,0,0.2022
Greece,1,6184,6.727,9934,1.68,75.9,0.0056,2,0.08,0.1818
Hungary,0,5309,10.745,NA,1.83,69.9,-0.001,5,NA,NA
Iceland,1,12085,7.889,241,NA,NA,0.0111,1,0,0.1754
Ireland,1,7215,8.008,3552,2.49,73.5,0.0069,1,0,0.1929
Italy,1,10895,6.276,57141,1.42,76.3,0.0026,1.8,0,0.1604
Luxembourg,1,13287,NA,367,NA,NA,0.0005,1,0,0.1682
Malta,0,5213,6.895,344,NA,NA,-0.0107,3.4,0,0.1746
Netherlands,1,11570,8.572,14484,1.51,76.5,0.0048,1,0,0.1746
Norway,1,14227,10.382,4153,1.68,76.5,0.003,1,0,0.1906
Poland,0,4204,8.412,NA,2.25,71.2,0.0089,4.6,NA,0.0899
Portugal,1,5026,3.827,10157,1.69,72.9,0.0049,2,0,0.1448
Spain,1,7547,5.585,38602,1.61,76.3,0.006,2.4,0,0.1335
Sweden,1,13313,9.447,8350,1.74,76.4,0.001,1,0,0.2897
Switzerland,1,15209,9.088,6470,1.51,76.7,0.0027,1,0,0.1152
Turkey,1,3059,3.294,50345,3.9,63.1,0.0231,5,0.08,0.1068
United_Kingdom,1,11137,8.648,56618,1.8,74.7,0.0009,1,0,0.2164
Yugoslavia,0,5250,7.164,23124,2.05,70.4,0.0072,5,NA,0.147
Australia,1,13662,10.241,15758,1.95,75.8,0.014,1,0,0.1842
Fiji,0,3129,6.756,699,3.35,69.8,0.0198,2,0,0.1802
New_Zealeand,1,11324,12.039,3247,1.92,74.4,0.0084,1,0,0.1587
Papau_New-Guinea,0,1519,1.654,3460,5.66,53.2,0.0268,2,0,0.2508
Solomon_Islands,0,1517,NA,NA,NA,NA,0.036,2.2,NA,NA
Tonga,0,1837,NA,NA,NA,NA,NA,3,NA,NA
Vanuatu,0,1694,NA,NA,NA,NA,NA,3.2,NA,NA
Western_Samoa,0,1641,NA,NA,NA,NA,0.0101,3,NA,NA
